Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
ROM	1	4	at5s	figs-activepassive		0	he was declared with power to be the Son of God	"""वह"" शब्द यीशु मसीह को संदर्भित करता है। आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""परमेश्वर ने शक्ति के साथ उसका परमेश्वर का पुत्र होना घोषित किया"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
ROM	1	4	h97z			0	by the resurrection from the dead	"उसे मृत मनुष्यों के बीच से जी उठाने के द्वारा। यह अभिव्यक्ति सभी मृत लोगों के एक साथ अधोलोक में होने की बात करती है, और फिर से जीवित होने को उनके बीच से पुनरूत्थित होने के समान कहा गया है।
ROM    1    4    यह पवित्र आत्मा को संदर्भित करता है।
ROM    1    5    परमेश्वर ने पौलुस को प्रेरित होने का उपहार दिया है। आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: “परमेश्वर ने मुझे प्रेरित बनाया। यह एक विशेषाधिकार है ""(देखें: [[rc://en/ta/man/translate/figs-activepassive]])
ROM    1    5    पौलुस ""नाम"" शब्द का उपयोग यीशु को संदर्भित करने के लिए एक उपनाम के रूप में करता है। वैकल्पिक अनुवाद: ""उस पर अपने विश्वास के कारण सभी देशों को आज्ञा मानना सिखाने के लिए"" (देखें: [[rc://en/ta/man/translate/figs-metonymy]])
ROM    1    7    आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""मैं यह पत्र तुम सभी रोम में रहने वालों को लिख रहा हूँ जिनसे परमेश्वर प्रेम करता है और उनको अपने लोग होने के लिए चुना है"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])
ROM    1    7    आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""परमेश्वर तुमको अनुग्रह और शांति दे"" या ""परमेश्वर तुमको आशीर्वाद दे और तुमको आंतरिक शांति दे"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])
ROM    1    7    ""पिता"" शब्द परमेश्वर के लिए एक महत्वपूर्ण उपाधि है। (देखें: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
ROM    1    8    वह जगत जिसे पौलुस और उसके पाठक जानते थे और उसमें यात्रा कर सकते थे, वह रोमी साम्राज्य था
ROM    1    9    पौलुस इस बात पर जोर देता है कि वह ईमानदारी से उनके लिए प्रार्थना करता है और परमेश्वर ने उसे प्रार्थना करते हुए देखा है। ""क्योंकि"" शब्द अक्सर अनुवाद किए बिना छोड़ दिया जाता है।
ROM    1    9    एक व्यक्ति की आत्मा उसका हिस्सा है जो परमेश्वर को जान सकती है और उस पर विश्वास कर सकती है।
ROM    1    9    बाइबल की खुशखबरी (सुसमाचार) यह है कि परमेश्वर के पुत्र ने स्वयं को जगत के उद्धारकर्ता के रूप में दिया है।
ROM    1    9    यह परमेश्वर के पुत्र यीशु के लिए एक महत्वपूर्ण उपाधि है। (देखें: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])
ROM    1    9    मैं तुम्हारे बारे में परमेश्वर से बात करता हूँ"
ROM	1	10	mdc8			0	I always request in my prayers that ... I may at last be successful ... in coming to you	हर बार जब मैं प्रार्थना करता हूँ, तो मैं परमेश्वर से पूछता हूँ कि ... मैं सफल हो सकता हूँ ... तुमसे मिलने आने में
ROM	1	10	zfp4			0	by any means	जिस किसी तरह से परमेश्वर अनुमति देता है
ROM	1	10	is3p			0	at last	"अंततः या ""आखिरकार"""
ROM	1	10	b5wy			0	by the will of God	क्योंकि यह परमेश्वर की इच्छा है
ROM	1	11	n5ql			0	Connecting Statement:	पौलुस रोम में रहने वाले लोगों के लिए अपने शुरूआती बयान को जारी रखता है और उन्हें कारागार में देखने की इच्छा व्यक्त करता है।
ROM	1	11	ki6h			0	For I desire to see you	क्योंकि मैं वास्तव में तुमको देखना चाहता हूँ
ROM	1	11	f3g1	figs-explicit		0	some spiritual gift, in order to strengthen you	"पौलुस आध्यात्मिक रूप से रोम के मसीहियों को मजबूत करना चाहता है। वैकल्पिक अनुवाद: ""कुछ उपहार जो तुमको आध्यात्मिक रूप से बढ़ने में मदद करेंगे"" (देखें: [[rc://en/ta/man/translate/figs-explicit]])"
ROM	1	12	ux1x	figs-activepassive		0	That is, I long to be mutually encouraged among you, through each other's faith, yours and mine	"आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""मेरा अर्थ है कि मैं चाहता हूँ कि हम यीशु पर विश्वास के अपने अनुभवों को साझा करके एक-दूसरे को प्रोत्साहित करें"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
ROM	1	13	yi1f	figs-doublenegatives		0	I do not want you to be uninformed	"पौलुस इस बात पर जोर दे रहा है कि वह चाहता था कि उन्हें इसकी जानकारी हो। आप इस दोहरे-नकारात्मक को सकारात्मक रूप में अनुवाद कर सकते हैं। वैकल्पिक अनुवाद: ""मैं चाहता हूँ कि तुम जान लो"" (देखें: [[rc://en/ta/man/translate/figs-doublenegatives]])"
ROM	1	13	u1cq			0	brothers	यहाँ इसका अर्थ पुरुष और महिला सहित दोनों संगी विश्वासी है।
ROM	1	13	ru3x	figs-activepassive		0	but I was hindered until now	"आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""किसी चीज ने हमेशा मुझे रोका है"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
ROM	1	13	gnu7	figs-metaphor		0	in order to have a harvest among you	"""फ़सल"" शब्द एक रूपक है जो रोम के उन लोगों का प्रतिनिधित्व करता है जिन्हें पौलुस सुसमाचार मानना चाहता है। वैकल्पिक अनुवाद: ""कि तुम में से अधिक लोग यीशु पर भरोसा रखें"" (देखें: [[rc://en/ta/man/translate/figs-metaphor]])"
ROM	1	13	j96v			0	the rest of the Gentiles	अन्य क्षेत्रों में रहने वाले अन्यजाति, जहाँ वह गया था
ROM	1	14	s4bm	figs-metaphor		0	I am a debtor both to	"रूपक ""कर्जदार"" का उपयोग करते हुए, पौलुस परमेश्वर की सेवा करने के लिए अपने कर्तव्य की बात ऐसे करता है जैसे कि उसने परमेश्वर को वित्तीय ऋण दिया है। वैकल्पिक अनुवाद: ""के पास मुझे सुसमाचार लेकर जाना है"" (देखें: [[rc://en/ta/man/translate/figs-metaphor]])"
ROM	1	16	mm2f	figs-litotes		0	I am not ashamed of the gospel	"आप इसका अनुवाद सकारात्मक रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""मुझे पूरी तरह से सुसमाचार पर भरोसा है"" (देखें: [[rc://en/ta/man/translate/figs-litotes]])"
ROM	1	16	h7nu	figs-explicit		0	it is the power of God for salvation for everyone who believes	"यहाँ ""विश्वास"" का अर्थ है कि कोई मसीह पर अपना विश्वास रखता है। वैकल्पिक अनुवाद: ""यह सुसमाचार के माध्यम से है कि परमेश्वर उन मनुष्यों को शक्तिशाली रूप से बचाता है जो मसीह पर अपना विश्वास रखते हैं"" (देखें: [[rc://en/ta/man/translate/figs-explicit]])"
ROM	1	16	f5x9			0	for the Jew first and for the Greek	यहूदी मनुष्यों के लिए और यूनानी मनुष्यों के लिए भी
ROM	1	16	sz5b			0	first	"यहाँ ""पहले"" का अर्थ है समय के क्रम में अन्य सभी से पहले आना।"
ROM	1	17	ii3m			0	For in it	"यहाँ ""यह"" सुसमाचार को संदर्भित करता है। पौलुस बताता है कि वह पूरी तरह से सुसमाचार पर भरोसा क्यों करता है।"
ROM	1	17	h38h	figs-activepassive		0	God's righteousness is revealed from faith to faith	"पौलुस सुसमाचार संदेश के बारे में ऐसे बोलता है जैसे कि यह एक ऐसी वस्तु थी जिसे परमेश्वर मनुष्यों को शारीरिक रूप से दिखा सकता था। आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""परमेश्वर ने हमें बताया है कि यह शुरू से अंत तक विश्वास के द्वारा है कि मनुष्य धर्मी बन जाते हैं"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
ROM	1	17	igg9	figs-activepassive		0	as it has been written	"आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""जैसा कि किसी ने पवित्र-शास्त्र में लिखा है"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
ROM	1	17	hbv6	figs-explicit		0	The righteous will live by faith	"यहाँ ""धर्मी"" उन मनुष्यों को संदर्भित करता है जो परमेश्वर पर भरोसा रखते हैं। वैकल्पिक अनुवाद: ""यह मनुष्य हैं जो परमेश्वर पर भरोसा करते हैं कि वह उनको धर्मी मानता है, और वे हमेशा के लिए जीवित रहेंगे"" (देखें: [[rc://en/ta/man/translate/figs-explicit]])"
ROM	1	18	gqv3			0	Connecting Statement:	पौलुस पापी मनुष्य के खिलाफ परमेश्वर के महान क्रोध को प्रकट करता है।
ROM	1	18	r15v	figs-activepassive		0	For the wrath of God is revealed	"आप इसका अनुवाद सक्रिय रूप में कर सकते हैं। वैकल्पिक अनुवाद: ""क्योंकि परमेश्वर दिखाता है कि वह कितना क्रोधित है"" (देखें: [[rc://en/ta/man/translate/figs-activepassive]])"
